Company Name,Symbol,Industry,Series,Open,High,Low,Previous Close,Last Traded Price,Change,Percentage Change,Share Volume,Value (Indian Rupee),52 Week High,52 Week Low,365 Day Percentage Change,30 Day Percentage Change
Hathway Cable & Datacom Ltd.,HATHWAY,13,1,16.3,16.45,16.1,16.25,16.35,0.1,1,670321,10886013.04,28.7,14.35,-37.26,-10.22
Hatsun Agro Product Ltd.,HATSUN,8,1,874.7,886.25,869.75,881.15,875.0,-6.15,0,88204,77170561.64,1525.95,837.6,-1.4,-4.76
Havells India Ltd.,HAVELLS,5,1,1099.85,1120.0,1092.25,1098.2,1111.65,13.45,1,1848135,2049858935.25,1504.45,978.0,12.04,-8.62
HCL Technologies Ltd.,HCLTECH,12,1,964.5,981.45,964.2,973.25,979.05,5.8,1,2827579,2746681964.81,1377.75,944.05,-1.04,-6.49
Housing Development Finance Corporation Ltd.,HDFC,9,1,2155.0,2224.05,2133.1,2170.85,2205.3,34.45,1,2776869,6047243158.68,3021.1,2026.0,-12.3,-5.89
HDFC Asset Management Company Ltd.,HDFCAMC,9,1,1782.0,1839.0,1779.7,1792.35,1833.3,40.95,1,447884,814118746.8,3365.0,1690.0,-38.56,-5.51
HDFC Bank Ltd.,HDFCBANK,9,1,1343.95,1360.0,1330.05,1348.0,1354.95,6.95,1,5736226,7722508977.02,1725.0,1271.6,-10.01,-2.95
HDFC Life Insurance Company Ltd.,HDFCLIFE,9,1,549.95,567.3,540.55,550.0,567.0,17.0,1,2052291,1143741774.3,775.65,497.05,-19.86,-8.17
H.E.G. Ltd.,HEG,1,1,995.8,998.95,963.3,997.85,984.9,-12.95,0,69104,67787568.8,2629.0,890.8,-54.45,-11.08
Hemisphere Properties India Ltd.,HEMIPROP,17,1,105.85,106.0,102.75,105.3,105.0,-0.3,0,462015,48266707.05,165.9,95.0,-23.67,2.43
Hero MotoCorp Ltd.,HEROMOTOCO,0,1,2715.0,2770.0,2683.35,2719.7,2758.8,39.1,1,393346,1075824910.76,2968.95,2146.85,-6.3,-1.95
